n, chi2, alfa, beta, gama
406, 5.525426, 4.8419, 0.8157, -0.2458
407, 7.062991, 5.0141, 0.9260, -0.1939
408, 8.464419, 5.0542, 0.9153, -0.1441
409, 6.462743, 5.0957, 0.8864, -0.1840
410, 6.628582, 5.1250, 0.8760, -0.1776
411, 6.497481, 5.0673, 0.8380, -0.2072
412, 5.912289, 5.0153, 0.8558, -0.2129
413, 6.612630, 5.0352, 0.9214, -0.1816
414, 9.222678, 4.9931, 0.8960, -0.2221
415, 10.059866, 4.8910, 0.9251, -0.2119
416, 7.497741, 4.7635, 0.7669, -0.2874
417, 6.724766, 4.5224, 0.7464, -0.3839
418, 4.571932, 4.3601, 0.7729, -0.5177
419, 3.820217, 4.3099, 0.7699, -0.4506
420, 4.317887, 4.5150, 0.7623, -0.5033
421, 5.318257, 4.6359, 0.7511, -0.4505
422, 7.132311, 4.9362, 0.7349, -0.3989
423, 6.410103, 4.8936, 0.7140, -0.4403
424, 9.063252, 4.9102, 0.6382, -0.5716
425, 11.199903, 5.0894, 0.6403, -0.6234
426, 11.908862, 4.9658, 0.7327, -0.5934
427, 6.045301, 4.9825, 0.6635, -0.5476
428, 6.819815, 5.0315, 0.6355, -0.5544
429, 8.629931, 4.9826, 0.6844, -0.5936
430, 4.564476, 4.9857, 0.6929, -0.5118
431, 5.262171, 5.0108, 0.6737, -0.5224
432, 8.190736, 4.9702, 0.6336, -0.5293
433, 10.152077, 4.9902, 0.7599, -0.3444
434, 9.332693, 5.0386, 0.7979, -0.2130
435, 6.272076, 5.0042, 0.8352, -0.2105
436, 6.232049, 4.9131, 0.7493, -0.3430
437, 5.840021, 4.7695, 0.7449, -0.4145
438, 5.244674, 4.5228, 0.7218, -0.5191
439, 7.076592, 4.4678, 0.7970, -0.4681
440, 4.285750, 4.4871, 0.7688, -0.4702
441, 3.951760, 4.5995, 0.7352, -0.4979
442, 6.181717, 4.6519, 0.7258, -0.5526
443, 5.166817, 4.6141, 0.7466, -0.4189
444, 15.171799, 4.5274, 0.7241, -0.3429
445, 5.511643, 4.5982, 0.7577, -0.3869
446, 4.995295, 4.4887, 0.7762, -0.3802
447, 6.383024, 4.5788, 0.7896, -0.3837
448, 5.706993, 4.6801, 0.7332, -0.4143
449, 7.836035, 4.7698, 0.7178, -0.3774
450, 7.632281, 4.7801, 0.8376, -0.2757
451, 6.769537, 4.9365, 0.9360, -0.1844
452, 6.091462, 5.0212, 0.8138, -0.2451
453, 7.377872, 4.9122, 0.8670, -0.1862
454, 7.769628, 4.9356, 0.9205, -0.1920
455, 7.710195, 4.9364, 0.9194, -0.1564
456, 7.543748, 4.9560, 0.8775, -0.1748
457, 6.276375, 4.7052, 0.8113, -0.2604
458, 9.749018, 4.5981, 0.8098, -0.2108
459, 10.933304, 4.6813, 0.7930, -0.2231
460, 5.321730, 4.6679, 0.7502, -0.4040
461, 8.440799, 4.5811, 0.8198, -0.2848
462, 10.417786, 4.6629, 0.8110, -0.3040
463, 5.101848, 4.5217, 0.7738, -0.3808
464, 5.075969, 4.5946, 0.7448, -0.4411
465, 6.816768, 4.6384, 0.7780, -0.3891
466, 3.993460, 4.5041, 0.7607, -0.4673
467, 4.090740, 4.5493, 0.7452, -0.5011
468, 4.622221, 4.4481, 0.7327, -0.4995
469, 3.877491, 4.5226, 0.7480, -0.4742
470, 5.349453, 4.5341, 0.7095, -0.4936
471, 7.997604, 4.5067, 0.7094, -0.4502
472, 7.862844, 4.4969, 0.8082, -0.3539
473, 5.361948, 4.3714, 0.8273, -0.3039
474, 4.294017, 4.3683, 0.7924, -0.3799
475, 7.553139, 4.2903, 0.8325, -0.3474
476, 8.349478, 4.3111, 0.8408, -0.3070
477, 4.017116, 4.2556, 0.7880, -0.4296
478, 5.507775, 4.4065, 0.7926, -0.4034
479, 9.565195, 4.4572, 0.7237, -0.4101
480, 5.535867, 4.5691, 0.7530, -0.4004
481, 7.068076, 4.5499, 0.7300, -0.4023
482, 6.160035, 4.4768, 0.7904, -0.4191
483, 6.424897, 4.5553, 0.7853, -0.3789
484, 5.851608, 4.5280, 0.7042, -0.5294
485, 5.967127, 4.5194, 0.7128, -0.5295
486, 7.152159, 4.4226, 0.7103, -0.5126
487, 5.627197, 4.2558, 0.7363, -0.4757
488, 4.709573, 4.2206, 0.7752, -0.4234
489, 3.421860, 4.1269, 0.8012, -0.4552
490, 4.962192, 4.2242, 0.8041, -0.3572
491, 4.732940, 4.3188, 0.7802, -0.5095
492, 3.916621, 4.3143, 0.7955, -0.4434
493, 5.675178, 4.4137, 0.7458, -0.4346
494, 7.288164, 4.3859, 0.8123, -0.3968
495, 7.285765, 4.2187, 0.8183, -0.5163
496, 4.526078, 3.9874, 0.8240, -0.4925
497, 5.447474, 3.9096, 0.8741, -0.3902
498, 3.786522, 3.9442, 0.8460, -0.4507
499, 10.397434, 3.6424, 0.8067, -0.4435
500, 6.815318, 3.7036, 0.8258, -0.4325
501, 4.648122, 3.8722, 0.8571, -0.3319
502, 3.429351, 3.9662, 0.8271, -0.4666
503, 3.801158, 3.8564, 0.8501, -0.3910
504, 4.154731, 3.8432, 0.8773, -0.3474
505, 5.364815, 3.8003, 0.8996, -0.3242
506, 3.118467, 3.8088, 0.8590, -0.4379
507, 5.706076, 3.7974, 0.8152, -0.4731
508, 3.807725, 3.6768, 0.8667, -0.4457
509, 6.491470, 3.7809, 0.9116, -0.2909
510, 7.193095, 3.7315, 0.9191, -0.2926
511, 3.932321, 3.5537, 0.8828, -0.3750
512, 5.410225, 3.7269, 0.9185, -0.2947
513, 4.757836, 3.8204, 0.8933, -0.2824
514, 6.144536, 3.7914, 0.9079, -0.2321
515, 5.965993, 3.8725, 0.8836, -0.3354
516, 5.831533, 3.9265, 0.8648, -0.4558
517, 8.530314, 3.8459, 0.8202, -0.3590
518, 7.774941, 3.9000, 0.7981, -0.4089
519, 3.919901, 3.9151, 0.8135, -0.4514
520, 4.933084, 3.9385, 0.7999, -0.4862
521, 5.858540, 4.0375, 0.8442, -0.4779
522, 4.521279, 4.1139, 0.7881, -0.4863
523, 4.259910, 4.0521, 0.8587, -0.3082
524, 6.079506, 3.9004, 0.8907, -0.3127
525, 5.035212, 3.8742, 0.8753, -0.4543
526, 3.850428, 4.0071, 0.8404, -0.4357
527, 4.938697, 4.1014, 0.8291, -0.4803
528, 7.445812, 4.2001, 0.7620, -0.4302
529, 6.391742, 4.2216, 0.7776, -0.3901
530, 6.364519, 4.2765, 0.7665, -0.4016
531, 5.250875, 4.2465, 0.7903, -0.3732
532, 5.133174, 4.3438, 0.8195, -0.3099
533, 5.886156, 4.3578, 0.8181, -0.3359
