     ID ,       RA ,       DE ,   MagK ,    K_t , lgL_K ,  Vls ,   D_i ,     ID1
1015745 ,  58.2848 , -20.0297 , -15.31 ,  13.53 ,  7.44 ,  571 ,  5.88 , 1015705
1015728 ,  62.4680 , -13.5639 , -15.26 ,  13.47 ,  7.42 ,  467 ,  5.59 , 1015705
1015750 ,  58.3946 , -16.9307 , -15.20 ,  13.38 ,  7.39 ,  604 ,  5.20 , 1015705
1087649 ,  59.2072 , -13.9794 , -15.12 ,  13.94 ,  7.36 ,  566 ,  6.46 , 1015705
1089273 ,  51.8760 , -12.8965 , -15.10 ,  13.43 ,  7.35 ,  570 ,  5.07 , 1015705
1015749 ,  60.9687 , -17.4672 , -15.06 ,  13.51 ,  7.34 ,  607 ,  5.18 , 1015705
1015748 ,  59.3561 , -19.2018 , -15.00 ,  13.79 ,  7.31 ,  240 ,  5.72 , 1015705
1080705 ,  54.7286 , -17.9963 , -14.98 ,  14.79 ,  7.31 ,  827 ,  9.02 , 1015705
1015752 ,  58.5684 , -18.0077 , -14.91 ,  13.85 ,  7.28 ,  182 ,  5.66 , 1015705
1088068 ,  58.2457 , -24.1989 , -14.76 ,  13.19 ,  7.22 ,  365 ,  3.89 , 1015705
1015753 ,  63.6601 , -16.1589 , -14.75 ,  13.98 ,  7.21 ,  634 ,  5.57 , 1015705
1087920 ,  63.3000 , -16.8715 , -14.75 ,  14.17 ,  7.21 ,  457 ,  6.06 , 1015705
1085707 ,  53.5060 , -12.3002 , -14.65 ,  15.07 ,  7.17 ,  856 ,  8.77 , 1015705
1086213 ,  56.6462 , -20.1563 , -14.55 ,  15.24 ,  7.13 ,  754 ,  9.06 , 1015705
1087334 ,  52.9031 , -11.0570 , -14.52 ,  13.81 ,  7.12 ,  705 ,  4.62 , 1015705
1088247 ,  62.3079 , -15.5785 , -14.47 ,  14.00 ,  7.10 ,  491 ,  4.94 , 1015705
1036632 ,  54.6826 , -23.3995 , -14.47 ,  13.88 ,  7.10 ,  300 ,  4.67 , 1015705
1015754 ,  56.9593 , -18.5173 , -14.43 ,  14.31 ,  7.08 ,  595 ,  5.60 , 1015705
1015751 ,  57.0696 , -19.2195 , -14.31 ,  14.42 ,  7.03 ,  511 ,  5.56 , 1015705
1078247 ,  60.1252 , -11.5629 , -14.20 ,  13.05 ,  6.99 ,  311 ,  2.82 , 1015705
1015756 ,  59.0059 , -18.8995 , -14.17 ,  14.57 ,  6.98 ,  622 ,  5.59 , 1015705
