 log10_L ,  log10_M
 8.72400 , 10.86715
 8.72500 , 10.86765
 8.72600 , 10.86815
 8.72700 , 10.86865
 8.72800 , 10.86915
 8.72900 , 10.86965
 8.73000 , 10.87015
 8.73100 , 10.87065
 8.73200 , 10.87115
 8.73300 , 10.87165
 8.73400 , 10.87215
 8.73500 , 10.87265
 8.73600 , 10.87315
 8.73700 , 10.87365
 8.73800 , 10.87415
 8.73900 , 10.87465
 8.74000 , 10.87515
 8.74100 , 10.87565
 8.74200 , 10.87615
 8.74300 , 10.87665
 8.74400 , 10.87715
 8.74500 , 10.87765
 8.74600 , 10.87815
 8.74700 , 10.87865
 8.74800 , 10.87915
 8.74900 , 10.87965
 8.75000 , 10.88015
 8.75100 , 10.88065
 8.75200 , 10.88115
 8.75300 , 10.88165
 8.75400 , 10.88215
 8.75500 , 10.88265
 8.75600 , 10.88315
 8.75700 , 10.88365
 8.75800 , 10.88415
 8.75900 , 10.88465
 8.76000 , 10.88515
 8.76100 , 10.88565
 8.76200 , 10.88615
 8.76300 , 10.88665
 8.76400 , 10.88715
 8.76500 , 10.88765
 8.76600 , 10.88815
 8.76700 , 10.88865
 8.76800 , 10.88915
 8.76900 , 10.88965
 8.77000 , 10.89015
 8.77100 , 10.89065
 8.77200 , 10.89115
 8.77300 , 10.89165
 8.77400 , 10.89215
 8.77500 , 10.89265
 8.77600 , 10.89315
 8.77700 , 10.89365
 8.77800 , 10.89415
 8.77900 , 10.89465
 8.78000 , 10.89515
 8.78100 , 10.89565
 8.78200 , 10.89615
 8.78300 , 10.89665
 8.78400 , 10.89715
 8.78500 , 10.89765
 8.78600 , 10.89815
 8.78700 , 10.89865
 8.78800 , 10.89915
 8.78900 , 10.89965
 8.79000 , 10.90015
 8.79100 , 10.90065
 8.79200 , 10.90115
 8.79300 , 10.90165
 8.79400 , 10.90215
 8.79500 , 10.90265
 8.79600 , 10.90315
 8.79700 , 10.90365
 8.79800 , 10.90415
 8.79900 , 10.90465
 8.80000 , 10.90515
 8.80100 , 10.90565
 8.80200 , 10.90615
 8.80300 , 10.90665
 8.80400 , 10.90715
 8.80500 , 10.90765
 8.80600 , 10.90815
 8.80700 , 10.90865
 8.80800 , 10.90915
 8.80900 , 10.90965
 8.81000 , 10.91015
 8.81100 , 10.91065
 8.81200 , 10.91115
 8.81300 , 10.91165
 8.81400 , 10.91215
 8.81500 , 10.91265
 8.81600 , 10.91315
 8.81700 , 10.91365
 8.81800 , 10.91415
 8.81900 , 10.91465
 8.82000 , 10.91515
 8.82100 , 10.91565
 8.82200 , 10.91615
 8.82300 , 10.91665
 8.82400 , 10.91715
 8.82500 , 10.91765
 8.82600 , 10.91815
 8.82700 , 10.91865
 8.82800 , 10.91915
 8.82900 , 10.91965
 8.83000 , 10.92015
 8.83100 , 10.92065
 8.83200 , 10.92115
 8.83300 , 10.92165
 8.83400 , 10.92215
 8.83500 , 10.92265
 8.83600 , 10.92315
 8.83700 , 10.92365
 8.83800 , 10.92415
 8.83900 , 10.92465
 8.84000 , 10.92515
 8.84100 , 10.92565
 8.84200 , 10.92615
 8.84300 , 10.92665
 8.84400 , 10.92715
 8.84500 , 10.92765
 8.84600 , 10.92815
 8.84700 , 10.92865
 8.84800 , 10.92915
 8.84900 , 10.92965
 8.85000 , 10.93015
 8.85100 , 10.93065
 8.85200 , 10.93115
 8.85300 , 10.93165
 8.85400 , 10.93215
 8.85500 , 10.93265
 8.85600 , 10.93315
 8.85700 , 10.93365
 8.85800 , 10.93415
 8.85900 , 10.93465
 8.86000 , 10.93515
 8.86100 , 10.93565
 8.86200 , 10.93615
 8.86300 , 10.93665
 8.86400 , 10.93715
 8.86500 , 10.93765
 8.86600 , 10.93815
 8.86700 , 10.93865
 8.86800 , 10.93915
 8.86900 , 10.93965
 8.87000 , 10.94015
 8.87100 , 10.94065
 8.87200 , 10.94115
 8.87300 , 10.94165
 8.87400 , 10.94215
 8.87500 , 10.94265
 8.87600 , 10.94315
 8.87700 , 10.94365
 8.87800 , 10.94415
 8.87900 , 10.94465
 8.88000 , 10.94515
 8.88100 , 10.94565
 8.88200 , 10.94615
 8.88300 , 10.94665
 8.88400 , 10.94715
 8.88500 , 10.94765
 8.88600 , 10.94815
 8.88700 , 10.94865
 8.88800 , 10.94915
 8.88900 , 10.94965
 8.89000 , 10.95015
 8.89100 , 10.95065
 8.89200 , 10.95115
 8.89300 , 10.95165
 8.89400 , 10.95215
 8.89500 , 10.95265
 8.89600 , 10.95315
 8.89700 , 10.95365
 8.89800 , 10.95415
 8.89900 , 10.95465
 8.90000 , 10.95515
 8.90100 , 10.95565
 8.90200 , 10.95615
 8.90300 , 10.95665
 8.90400 , 10.95715
