n, chi2, alfa, beta, gama
472, 6.637211, 4.4288, 0.7938, -0.4967
473, 6.034833, 3.7040, 0.8829, -0.4733
474, 4.992361, 4.3456, 0.7769, -0.3968
475, 8.998371, 5.2268, 0.7071, -0.3437
476, 9.290360, 3.3862, 0.8791, -0.4530
477, 11.199659, 3.5620, 0.8276, -0.4777
478, 9.097429, 3.7105, 0.9018, -0.4873
479, 6.344495, 4.0265, 0.7959, -0.5129
480, 5.154356, 4.0133, 0.7955, -0.4724
481, 3.597148, 3.9810, 0.8230, -0.4279
482, 6.854886, 3.8894, 0.8593, -0.4984
483, 3.865007, 3.9165, 0.8316, -0.3926
484, 5.222043, 4.0062, 0.8459, -0.4582
485, 5.544102, 3.7096, 0.8923, -0.2926
486, 4.845986, 3.8238, 0.8916, -0.2821
487, 4.152901, 3.8836, 0.8387, -0.3815
488, 3.739105, 4.4181, 0.7580, -0.4728
489, 5.738728, 4.7097, 0.8154, -0.2251
490, 5.920321, 4.5453, 0.9124, -0.2268
491, 3.935695, 4.1093, 0.7964, -0.4716
492, 7.809182, 4.6870, 0.7706, -0.4647
493, 7.859710, 4.3902, 0.7955, -0.2950
494, 6.187713, 4.7101, 0.7578, -0.4964
495, 5.119913, 3.5311, 0.8823, -0.3634
496, 8.098190, 3.5601, 0.8476, -0.3939
497, 6.373844, 4.2418, 0.7928, -0.5340
498, 6.648883, 5.9754, 0.7774, -0.1841
499, 3.645154, 3.9715, 0.8286, -0.4256
500, 5.002215, 3.9707, 0.8383, -0.3518
501, 4.655827, 3.8984, 0.8682, -0.4333
502, 7.978196, 4.1924, 0.7363, -0.5328
503, 3.579283, 3.8054, 0.8685, -0.4344
504, 4.371552, 3.8463, 0.8796, -0.3631
505, 3.925549, 3.5190, 0.9187, -0.4169
506, 5.345038, 4.4486, 0.7868, -0.4888
507, 5.300942, 4.3442, 0.7928, -0.3546
508, 6.407043, 4.7174, 0.7503, -0.3553
509, 5.023964, 4.6789, 0.7220, -0.4708
510, 4.977559, 4.7784, 0.7206, -0.4572
511, 4.639321, 3.7530, 0.8537, -0.3746
512, 5.367900, 4.5778, 0.7783, -0.3504
513, 4.935151, 4.4775, 0.7667, -0.4318
514, 3.948516, 4.0643, 0.8194, -0.4527
515, 4.079900, 4.1045, 0.8274, -0.4307
516, 3.974618, 4.5604, 0.7356, -0.4807
517, 6.604470, 3.8043, 0.8072, -0.4564
518, 6.789352, 4.2018, 0.9120, -0.1943
519, 7.520318, 3.6308, 0.8176, -0.4191
520, 9.944214, 4.7689, 0.6929, -0.4206
521, 5.405460, 4.2422, 0.7427, -0.4960
522, 4.201034, 3.9628, 0.8144, -0.4905
523, 4.661703, 4.0773, 0.8753, -0.2718
524, 4.083341, 3.6393, 0.8957, -0.4356
525, 5.562728, 4.7841, 0.6775, -0.5194
526, 3.949925, 3.7856, 0.8926, -0.3416
